Month,Points,Ranking,Team
2017-06-01,1804,16,Arsenal FC
2017-07-01,1804,16,Arsenal FC
2017-08-01,1804,16,Arsenal FC
2017-09-01,1770,19,Arsenal FC
2017-10-01,1803,15,Arsenal FC
2017-11-01,1819,13,Arsenal FC
2017-12-01,1837,14,Arsenal FC
2018-01-01,1805,15,Arsenal FC
2018-02-01,1761,21,Arsenal FC
2018-03-01,1758,19,Arsenal FC
2018-04-01,1763,19,Arsenal FC
2018-05-01,1764,21,Arsenal FC
2018-06-01,1754,21,Arsenal FC
2018-07-01,1754,21,Arsenal FC
2018-08-01,1754,21,Arsenal FC
2018-09-01,1738,21,Arsenal FC
2018-10-01,1775,20,Arsenal FC
2018-11-01,1806,16,Arsenal FC
2018-12-01,1809,16,Arsenal FC
2019-01-01,1801,18,Arsenal FC
2019-02-01,1805,15,Arsenal FC
2019-03-01,1809,15,Arsenal FC
2019-04-01,1841,14,Arsenal FC
2019-05-01,1770,22,Arsenal FC
2019-06-01,1782,21,Arsenal FC
2019-07-01,1782,21,Arsenal FC
2019-08-01,1782,21,Arsenal FC
2019-09-01,1794,16,Arsenal FC
2019-10-01,1798,20,Arsenal FC
2019-11-01,1778,20,Arsenal FC
2019-12-01,1727,30,Arsenal FC
2020-01-01,1684,52,Arsenal FC
2020-02-01,1706,38,Arsenal FC
2020-03-01,1727,32,Arsenal FC
2020-04-01,1733,30,Arsenal FC
2020-05-01,1733,30,Arsenal FC
2020-06-01,1733,30,Arsenal FC
2020-07-01,1700,42,Arsenal FC
2020-08-01,1725,32,Arsenal FC
2020-09-01,1725,34,Arsenal FC
2020-10-01,1737,32,Arsenal FC
2020-11-01,1727,34,Arsenal FC
2020-12-01,1698,48,Arsenal FC
2021-01-01,1706,44,Arsenal FC
2021-02-01,1748,32,Arsenal FC
2021-03-01,1759,26,Arsenal FC
2021-04-01,1773,24,Arsenal FC
2021-05-01,1736,34,Arsenal FC
2021-06-01,1806,19,Arsenal FC
2021-07-01,1806,19,Arsenal FC
2021-08-01,1806,19,Arsenal FC
2021-09-01,1743,32,Arsenal FC
2021-10-01,1770,24,Arsenal FC
2021-11-01,1795,20,Arsenal FC
2021-12-01,1795,23,Arsenal FC
2022-01-01,1822,14,Arsenal FC
2022-02-01,1799,20,Arsenal FC
2022-03-01,1824,14,Arsenal FC
2022-04-01,1836,14,Arsenal FC
2022-05-01,1811,17,Arsenal FC
2022-06-01,1793,22,Arsenal FC
2022-07-01,1793,22,Arsenal FC
2022-08-01,1793,22,Arsenal FC
2022-09-01,1844,15,Arsenal FC
2022-10-01,1844,14,Arsenal FC
2022-11-01,1874,10,Arsenal FC
2022-12-01,1902,8,Arsenal FC
2023-01-01,1924,7,Arsenal FC
2023-02-01,1945,5,Arsenal FC
2023-03-01,1909,6,Arsenal FC
2023-04-01,1925,6,Arsenal FC
2023-05-01,1899,6,Arsenal FC
2023-06-01,1869,8,Arsenal FC
2023-07-01,1869,7,Arsenal FC
2023-08-01,1869,7,Arsenal FC
2023-09-01,1871,8,Arsenal FC
2023-10-01,1905,7,Arsenal FC
2023-11-01,1913,6,Arsenal FC
2023-12-01,1930,5,Arsenal FC
2024-01-01,1874,8,Arsenal FC
2024-02-01,1889,7,Arsenal FC
2024-03-01,1928,6,Arsenal FC
2024-04-01,1957,5,Arsenal FC
2024-05-01,1945,5,Arsenal FC
2024-06-01,1963,4,Arsenal FC
2024-07-01,1963,4,Arsenal FC
2024-08-01,1963,4,Arsenal FC
2024-09-01,1969,4,Arsenal FC
2024-10-01,1990,3,Arsenal FC
2024-11-01,1964,6,Arsenal FC
2024-12-01,1989,3,Arsenal FC
2025-01-01,1998,3,Arsenal FC
2025-02-01,2004,4,Arsenal FC
2025-03-01,1987,3,Arsenal FC
2025-04-01,2002,5,Arsenal FC
2025-05-01,1982,4,Arsenal FC
2025-06-01,1954,5,Arsenal FC
2025-07-01,1954,5,Arsenal FC
2025-08-01,1954,6,Arsenal FC
2025-09-01,1983,4,Arsenal FC
2025-10-01,2016,3,Arsenal FC
2025-11-01,2028,2,Arsenal FC
2010-02-01,1658,31,Aston Villa FC
2010-03-01,1670,30,Aston Villa FC
2010-04-01,1644,39,Aston Villa FC
2010-05-01,1680,28,Aston Villa FC
2010-06-01,1642,38,Aston Villa FC
2010-07-01,1642,38,Aston Villa FC
2010-08-01,1642,38,Aston Villa FC
2010-09-01,1626,45,Aston Villa FC
2010-10-01,1617,52,Aston Villa FC
2010-11-01,1593,79,Aston Villa FC
2010-12-01,1572,102,Aston Villa FC
2011-01-01,1546,144,Aston Villa FC
2011-02-01,1578,91,Aston Villa FC
2011-03-01,1587,80,Aston Villa FC
2011-04-01,1553,125,Aston Villa FC
2011-05-01,1571,103,Aston Villa FC
2011-06-01,1605,68,Aston Villa FC
2011-07-01,1605,69,Aston Villa FC
2011-08-01,1605,68,Aston Villa FC
